PFAM_ID,DUF_ID,DUF_Name,Name of the DUF,Species,SCOPe Superfamily,SCOPe Family,Pathway,Chain ID ,PDB_ID
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Streptomyces scabies,c.23.10(110-325),,Electron Transport Chain,A,1esc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Streptomyces scabies,c.23.10(110-325),,Electron Transport Chain,A,1esd
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Streptomyces scabies,c.23.10(110-325),,Electron Transport Chain,A,1ese
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Influenza C virus,c.23.10(110-325),,Electron Transport Chain,A,1flc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Influenza C virus,c.23.10(110-325),,Electron Transport Chain,C,1flc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Influenza C virus,c.23.10(110-325),,Electron Transport Chain,E,1flc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha1",c.23.10(110-325),,Electron Transport Chain,A,1bwp
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha1",c.23.10(110-325),,Electron Transport Chain,A,1bwq
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha1",c.23.10(110-325),,Electron Transport Chain,A,1bwr
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha1",c.23.10(110-325),,Electron Transport Chain,A,1es9
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha1",c.23.10(110-325),,Electron Transport Chain,A,1fxw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha1",c.23.10(110-325),,Electron Transport Chain,A,1wab
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,A,1vyh
PF04311,DUF460,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,B,1vyh
PF04311,DUF461,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,E,1vyh
PF04311,DUF462,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,F,1vyh
PF04311,DUF463,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,I,1vyh
PF04311,DUF464,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,J,1vyh
PF04311,DUF465,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,M,1vyh
PF04311,DUF466,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,N,1vyh
PF04311,DUF467,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,Q,1vyh
PF04311,DUF468,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Cow (Bos taurus), alpha2 ",c.23.10(110-325),,Electron Transport Chain,R,1vyh
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Pneumococcus (Streptococcus pneumoniae),c.23.10(110-325),,Electron Transport Chain,A,2hsj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Pneumococcus (Streptococcus pneumoniae),,,Electron Transport Chain,B,2hsj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Pneumococcus (Streptococcus pneumoniae),,,Electron Transport Chain,C,2hsj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Pneumococcus (Streptococcus pneumoniae),,,Electron Transport Chain,D,2hsj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Cow (Bos taurus),c.23.10(110-325),,Electron Transport Chain,A,3dt6
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Cow (Bos taurus),c.23.10(110-325),,Electron Transport Chain,A,3dt8
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Cow (Bos taurus),c.23.10(110-325),,Electron Transport Chain,A,3dt9
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Fungus (Aspergillus aculeatus),c.23.10(110-325),,Electron Transport Chain,A,1deo
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Fungus (Aspergillus aculeatus),c.23.10(110-325),,Electron Transport Chain,A,1dex
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Fungus (Aspergillus aculeatus),c.23.10(110-325),,Electron Transport Chain,A,1k7c
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Fungus (Aspergillus aculeatus),c.23.10(110-325),,Electron Transport Chain,A,1pp4
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Fungus (Aspergillus aculeatus),c.23.10(110-325),,Electron Transport Chain,A,3c1u
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Enterococcus faecalis,c.23.10(110-325),,Electron Transport Chain,A,1yzf
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,1ivn
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,1j00
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,1jrl
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,1u8u
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,1v2g
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,5tic
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,B,5tic
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,5tid
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,5tie
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,5tif
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,6lfb
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,A,6lfc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,B,6lfc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,C,6lfc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,D,6lfc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,E,6lfc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Escherichia coli,c.23.10(110-325),,Electron Transport Chain,F,6lfc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Nostoc sp. PCC 7120,c.23.10(110-325),,Electron Transport Chain,A,1vjg
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Nostoc sp. PCC 7120,c.23.10(110-325),,Electron Transport Chain,A,1z8h
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Nostoc sp. PCC 7120,c.23.10(110-325),,Electron Transport Chain,B,1z8h
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Nostoc sp. PCC 7120,c.23.10(110-325),,Electron Transport Chain,C,1z8h
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Nostoc sp. PCC 7120,c.23.10(110-325),,Electron Transport Chain,D,1z8h
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,A,1zmb
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,A,2aea
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,B,2aea
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,C,2aea
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,D,2aea
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,A,2apj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,B,2apj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,C,2apj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Clostridium acetobutylicum,c.23.10(110-325),,Electron Transport Chain,D,2apj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,A,2o14
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,A,3bzw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,B,3bzw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,C,3bzw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,D,3bzw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,E,3bzw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacillus subtilis,c.23.10(110-325),,Electron Transport Chain,F,3bzw
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23], Lactobacillus plantarum,c.23.10(110-325),,Electron Transport Chain,A,3dc7
PF04311,DUF460,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23], Lactobacillus plantarum,c.23.10(110-325),,Electron Transport Chain,B,3dc7
PF04311,DUF461,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23], Lactobacillus plantarum,c.23.10(110-325),,Electron Transport Chain,C,3dc7
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Alicyclobacillus acidocaldarius,c.23.10(110-325),,Electron Transport Chain,A,3rjt
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Alicyclobacillus acidocaldarius,c.23.10(110-325),,Electron Transport Chain,B,3rjt
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Altererythrobacter indicus ,c.23.10(110-325),,Electron Transport Chain,A,7c2a
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Altererythrobacter indicus ,c.23.10(110-325),,Electron Transport Chain,A,7c2c
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Altererythrobacter indicus ,c.23.10(110-325),,Electron Transport Chain,A,7c2d
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Altererythrobacter indicus ,c.23.10(110-325),,Electron Transport Chain,A,7c82
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Altererythrobacter indicus ,c.23.10(110-325),,Electron Transport Chain,A,7c84
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Altererythrobacter indicus ,c.23.10(110-325),,Electron Transport Chain,A,7c85
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides fragilis,c.23.10(110-325),,Electron Transport Chain,A,4ppy
PF04311,DUF460,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides fragilis,c.23.10(110-325),,Electron Transport Chain,B,4ppy
PF04311,DUF461,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides fragilis,c.23.10(110-325),,Electron Transport Chain,C,4ppy
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides thetaiotaomicron,c.23.10(110-325),,Electron Transport Chain,A,4hf7
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides uniformis,c.23.10(110-325),,Electron Transport Chain,A,4iyj
PF04311,DUF460,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides uniformis,c.23.10(110-325),,Electron Transport Chain,B,4iyj
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides vulgatus,c.23.10(110-325),,Electron Transport Chain,A,6njc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides vulgatus,c.23.10(110-325),,Electron Transport Chain,B,6njc
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides vulgatus,c.23.10(110-325),,Electron Transport Chain,A,6xpg
